language_family;language_name;native_name;639-1 
Algonquian;Ojibwa;ᐊᓂᔑᓈᐯᒧᐎᓐ;oj
Indo-European;Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic;ѩзыкъ словѣньскъ;cu
Afro-Asiatic;Oromo;Afaan Oromoo;om
Indo-European;Oriya;ଓଡ଼ିଆ;or
Indo-European;Ossetian, Ossetic;ирон æвзаг;os
Indo-European;Punjabi, Panjabi;ਪੰਜਾਬੀ, پنجابی‎;pa
Indo-European;Pali;पालि, पाळि;pi
Indo-European;Persian;فارسی;fa
Indo-European;Polish;język polski, polszczyzna;pl
Indo-European;Pashto, Pushto;پښتو;ps
Indo-European;Portuguese;Português;pt
Quechuan;Quechua;Runa Simi, Kichwa;qu
Indo-European;Romansh;Rumantsch Grischun;rm
Niger–Congo;Rundi;Ikirundi;rn
Indo-European;Romanian, Moldavian, Moldovan;Română;ro
Indo-European;Russian;русский;ru
Indo-European;Sanskrit;संस्कृतम्;sa
Indo-European;Sardinian;sardu;sc
Indo-European;Sindhi;सिन्धी, سنڌي، سندھی‎;sd
Uralic;Northern Sami;Davvisámegiella;se
Austronesian;Samoan;gagana fa'a Samoa;sm
Creole;Sango;yângâ tî sängö;sg
Indo-European;Serbian;српски језик;sr
Indo-European;Gaelic, Scottish Gaelic;Gàidhlig;gd
Niger–Congo;Shona;chiShona;sn
Indo-European;Sinhala, Sinhalese;සිංහල;si
Indo-European;Slovak;Slovenčina, Slovenský Jazyk;sk
Indo-European;Slovenian;Slovenski Jezik, Slovenščina;sl
Afro-Asiatic;Somali;Soomaaliga, af Soomaali;so
Niger–Congo;Southern Sotho;Sesotho;st
Indo-European;Spanish, Castilian;Español;es
Austronesian;Sundanese;Basa Sunda;su
Niger–Congo;Swahili;Kiswahili;sw
Niger–Congo;Swati;SiSwati;ss
Indo-European;Swedish;Svenska;sv
Dravidian;Tamil;தமிழ்;ta
Dravidian;Telugu;తెలుగు;te
Indo-European;Tajik;тоҷикӣ, toçikī, تاجیکی‎;tg
Tai–Kadai;Thai;ไทย;th
Afro-Asiatic;Tigrinya;ትግርኛ;ti
Sino-Tibetan;Tibetan;བོད་ཡིག;bo
Turkic;Turkmen;Türkmen, Түркмен;tk
Austronesian;Tagalog;Wikang Tagalog;tl
Niger–Congo;Tswana;Setswana;tn
Austronesian;Tonga (Tonga Islands);Faka Tonga;to
Turkic;Turkish;Türkçe;tr
Niger–Congo;Tsonga;Xitsonga;ts
Turkic;Tatar;татар теле, tatar tele;tt
Niger–Congo;Twi;Twi;tw
Austronesian;Tahitian;Reo Tahiti;ty
Turkic;Uighur, Uyghur;ئۇيغۇرچە‎, Uyghurche;ug
Indo-European;Ukrainian;Українська;uk
Indo-European;Urdu;اردو;ur
Turkic;Uzbek;Oʻzbek, Ўзбек, أۇزبېك‎;uz
Niger–Congo;Venda;Tshivenḓa;ve
Austroasiatic;Vietnamese;Tiếng Việt;vi
Constructed;Volapük;Volapük;vo
Indo-European;Walloon;Walon;wa
Indo-European;Welsh;Cymraeg;cy
Niger–Congo;Wolof;Wollof;wo
Indo-European;Western Frisian;Frysk;fy
Niger–Congo;Xhosa;isiXhosa;xh
Indo-European;Yiddish;ייִדיש;yi
Niger–Congo;Yoruba;Yorùbá;yo
Tai–Kadai;Zhuang, Chuang;Saɯ cueŋƅ, Saw cuengh;za
Niger–Congo;Zulu;isiZulu;zu
